,0,1,2
66,Derek Holland,17.285601888276947,16.502714
67,J.A. Happ,17.277335264301232,16.498741
68,Kenta Maeda,16.44589552238806,16.218744
69,Mike Leake,14.811932555123217,14.943942
70,Masahiro Tanaka,15.408333333333333,15.400355
71,Chase Anderson,16.447076239822355,16.791979
72,Lance McCullers Jr.,16.53174603174603,16.03867
73,Zach Eflin,15.698602794411178,15.678755
74,Tanner Roark,16.254901960784313,16.425909
75,Wade LeBlanc,15.009174311926605,15.856669
76,Kevin Gausman,16.264900662251655,15.108469
77,Cole Hamels,16.297627606038823,15.945868
78,Freddy Peralta,17.945007235890017,18.152096
79,Kyle Hendricks,15.813492063492065,15.568693
80,John Gant,15.942028985507246,15.982938
81,Julio Teheran,15.95577746077033,17.442444
82,Vince Velasquez,16.67479674796748,16.571617
83,Andrew Heaney,15.278571428571428,15.745269
84,Anthony DeSclafani,15.168690958164644,16.047117
85,Rick Porcello,15.834386852085968,15.676443
86,Jordan Zimmermann,15.870488322717621,15.676246
87,Caleb Smith,18.067444876783398,17.308859
88,Ivan Nova,15.802919708029197,15.222736
89,Stephen Strasburg,16.307519640852973,15.799009
90,Trevor Richards,18.035714285714285,17.37637
91,Felix Pena,16.09433962264151,16.839048
92,Blaine Hardy,15.714285714285714,15.692381
93,Matt Boyd,16.54074074074074,16.71727
94,Ryan Borucki,17.490421455938698,15.903963
95,Marco Gonzales,15.606060606060607,15.112535
96,James Shields,15.92274678111588,16.626917
97,Shane Bieber,16.005398110661268,15.08699
98,Jose Quintana,16.884615384615383,17.073662
99,Tyson Ross,16.948102246320683,17.098125
100,Mike Minor,16.310077519379846,15.609915
101,Chris Archer,17.20420683610868,15.71149
102,Pablo Lopez,16.0188679245283,14.951834
103,German Marquez,16.568213783403657,15.824741
104,Tyler Anderson,16.073369565217394,16.11238
105,Daniel Mengden,15.509977827050998,15.27476
106,Zack Godley,17.01418439716312,16.667671
107,Doug Fister,16.90909090909091,16.148605
108,Jose Urena,16.181159420289855,15.654615
109,Michael Fulmer,16.125,15.5279045
110,Gio Gonzalez,18.093093093093096,17.093657
111,Aaron Sanchez,17.17171717171717,16.973207
112,Matt Koch,15.202312138728322,15.61689
113,Adam Plutko,15.242718446601941,16.14528
114,Jake Odorizzi,19.216589861751153,17.31001
115,Steven Matz,17.810858143607707,16.210169
116,Chad Kuhl,16.88235294117647,16.8632
117,Brent Suter,16.21019108280255,15.590233
118,Dan Straily,18.032945736434108,17.263577
119,Matt Harvey,16.408640864086408,15.397438
120,Luke Weaver,17.162270183852918,16.265614
121,Jon Gray,16.03423680456491,15.615406
122,Andrew Suarez,15.952980688497062,15.888947
123,Fernando Romero,17.40942028985507,15.674834
124,Jakob Junis,16.28985507246377,15.902149
125,Nick Pivetta,17.259953161592506,15.568652
126,Reynaldo Lopez,16.426573426573427,16.743832
127,Nick Tropeano,15.513157894736842,16.918156
128,Jordan Lyles,15.914893617021276,15.373653
129,Andrew Cashner,17.067164179104477,16.95802
130,Luis Castillo,16.806912096168297,15.292439
131,Marco Estrada,16.838983050847457,16.487118
132,Danny Duffy,17.889587700908457,16.87983
133,Robbie Ray,18.541147132169577,17.914795
134,Francisco Liriano,17.17564870259481,17.514082
135,Brandon McCarthy,15.537084398976981,15.367782
136,Yu Darvish,18.5,17.249714
137,Tyler Mahle,18.321100917431192,16.531557
138,Lance Lynn,19.25,17.206774
139,Nick Kingham,16.62295081967213,16.02934
140,Sam Gaviglio,16.714761376248614,16.187927
141,Alex Cobb,15.937972768532529,15.31141
142,Yovani Gallardo,17.0,17.163921
143,Clayton Richard,14.916129032258064,15.788992
144,Ian Kennedy,17.770700636942674,17.014067
145,Ty Blach,16.32398753894081,15.842649
146,Tyler Chatwood,18.802083333333332,18.857628
147,Chris Stratton,17.09433962264151,16.364372
148,Wei-Yin Chen,16.733266733266735,16.710934
149,Andrew Triggs,17.59124087591241,17.203545
150,Zach Davies,17.186046511627907,16.7145
151,Marcus Stroman,16.54690618762475,15.556065
152,Jake Faria,17.176470588235293,17.559643
153,Eric Lauer,18.526682134570766,16.607862
154,Dylan Bundy,16.087278106508876,15.681632
155,Corey Oswalt,14.90049751243781,15.206348
156,Chad Bettis,16.107445805843543,16.492746
157,David Hess,16.565217391304348,16.36491
158,Sonny Gray,17.364341085271317,16.758472
159,Sal Romano,16.772402854877082,16.232107
160,Bartolo Colon,15.277572168763879,15.472457
161,Felix Hernandez,16.6,16.399479
162,Dylan Covey,17.267508610792195,16.198536
163,Lucas Giolito,17.274052478134113,17.1524
164,Jason Hammel,16.327130264446623,15.745782
165,Jaime Garcia,17.52864157119476,17.41918
166,Domingo German,16.925373134328357,16.05539
167,Homer Bailey,16.81668496158068,15.574324
168,Jeff Samardzija,18.212669683257918,17.305613
169,Drew Pomeranz,19.43248532289628,17.816944
170,Eric Skoglund,16.097560975609756,15.944713
171,Martin Perez,16.867088607594937,16.108873
172,Jason Vargas,17.714776632302403,16.344212
173,Matt Moore,18.963636363636365,16.06465
